Date,Volume,Close,Average,,,,,,,,,,
19/03/2018,"109,208,442", $270.49 ,274.886,,,,,,,,,,
20/03/2018,"59,757,271", $270.95 ,274.693,,,,,,,,,,
21/03/2018,"78,709,578", $270.43 ,274.458,,,,,,,,,,
22/03/2018,"148,785,916", $263.67 ,273.415,,,,,,,,,,
23/03/2018,"183,534,751", $258.05 ,271.333,,,,,,,,,,
26/03/2018,"141,956,102", $265.11 ,269.992,,,,,,,,,,
27/03/2018,"129,941,445", $260.60 ,268.38,,,,,,,,,,
28/03/2018,"146,452,306", $259.83 ,266.833,,,,,,,,,,
29/03/2018,"124,244,790", $263.15 ,265.648,,,,,,,,,,
02/04/2018,"186,286,343", $257.47 ,263.975,,,,,,,,,,
03/04/2018,"119,956,861", $260.77 ,263.003,,,,,,,,,,
04/04/2018,"123,715,339", $263.56 ,262.264,,,,,,,,,,
05/04/2018,"82,652,618", $265.64 ,261.785,,,,,,,,,,
06/04/2018,"179,521,209", $259.72 ,261.39,,,,,,,,,,
09/04/2018,"105,442,932", $261.00 ,261.685,,,,,,,,,,
10/04/2018,"105,573,736", $265.15 ,261.689,,,,,,,,,,
11/04/2018,"91,140,243", $263.76 ,262.005,,,,,,,,,,
12/04/2018,"68,890,480", $265.93 ,262.615,,,,,,,,,,
13/04/2018,"85,079,176", $265.15 ,262.815,,,,,,,,,,
16/04/2018,"63,405,287", $267.33 ,263.801,,,,,,,,,,
17/04/2018,"63,222,399", $270.19 ,264.743,,,,,,,,,,
18/04/2018,"57,303,857", $270.39 ,265.426,,,,,,,,,,
19/04/2018,"77,655,909", $268.89 ,265.751,,,,,,,,,,
20/04/2018,"99,953,133", $266.61 ,266.44,,,,,,,,,,
23/04/2018,"65,557,954", $266.57 ,266.997,,,,,,,,,,
24/04/2018,"112,885,452", $262.98 ,266.78,,,,,,,,,,
25/04/2018,"103,840,948", $263.63 ,266.767,,,,,,,,,,
26/04/2018,"67,731,942", $266.31 ,266.805,,,,,,,,,,
27/04/2018,"57,053,647", $266.56 ,266.946,,,,,,,,,,
30/04/2018,"82,182,324", $264.51 ,266.664,,,,,,,,,,
01/05/2018,"74,203,365", $264.98 ,266.143,,,,,,,,,,
02/05/2018,"86,368,943", $263.20 ,265.424,,,,,,,,,,
03/05/2018,"136,311,479", $262.62 ,264.797,,,,,,,,,,
04/05/2018,"91,222,075", $266.02 ,264.738,,,,,,,,,,
07/05/2018,"55,304,907", $266.92 ,264.773,,,,,,,,,,
08/05/2018,"67,499,247", $266.92 ,265.167,,,,,,,,,,
09/05/2018,"59,666,143", $269.50 ,265.754,,,,,,,,,,
10/05/2018,"72,063,931", $272.02 ,266.325,,,,,,,,,,
11/05/2018,"59,871,511", $272.85 ,266.954,,,,,,,,,,
14/05/2018,"54,790,606", $272.98 ,267.801,,,,,,,,,,
15/05/2018,"87,036,136", $271.10 ,268.413,,,,,,,,,,
16/05/2018,"53,942,631", $272.24 ,269.317,,,,,,,,,,
17/05/2018,"56,536,400", $272.01 ,270.256,,,,,,,,,,
18/05/2018,"64,367,959", $271.33 ,270.787,,,,,,,,,,
21/05/2018,"58,025,875", $273.37 ,271.432,,,,,,,,,,
22/05/2018,"52,966,358", $272.61 ,272.001,,,,,,,,,,
23/05/2018,"64,694,184", $273.36 ,272.387,,,,,,,,,,
24/05/2018,"76,043,827", $272.80 ,272.465,,,,,,,,,,
25/05/2018,"56,374,755", $272.15 ,272.395,,,,,,,,,,
29/05/2018,"115,908,607", $269.02 ,271.999,,,,,,,,,,
30/05/2018,"69,678,449", $272.61 ,272.15,,,,,,,,,,
31/05/2018,"93,519,941", $270.94 ,272.02,,,,,,,,,,
01/06/2018,"71,258,411", $273.60 ,272.179,,,,,,,,,,
04/06/2018,"45,385,166", $274.90 ,272.536,,,,,,,,,,
05/06/2018,"51,135,038", $275.10 ,272.709,,,,,,,,,,
06/06/2018,"62,732,215", $277.40 ,273.188,,,,,,,,,,
07/06/2018,"72,969,402", $277.37 ,273.589,,,,,,,,,,
08/06/2018,"72,139,719", $278.19 ,274.128,,,,,,,,,,
11/06/2018,"58,892,515", $278.56 ,274.769,,,,,,,,,,
12/06/2018,"72,329,028", $278.92 ,275.759,,,,,,,,,,
13/06/2018,"79,070,610", $278.03 ,276.301,,,,,,,,,,
14/06/2018,"77,097,620", $278.73 ,277.08,,,,,,,,,,
15/06/2018,"120,041,562", $277.13 ,277.433,,,,,,,,,,
18/06/2018,"52,917,581", $276.56 ,277.599,,,,,,,,,,
19/06/2018,"97,531,510", $275.50 ,277.639,,,,,,,,,,
20/06/2018,"53,785,486", $275.97 ,277.496,,,,,,,,,,
21/06/2018,"71,061,404", $274.24 ,277.183,,,,,,,,,,
22/06/2018,"56,612,003", $274.74 ,276.838,,,,,,,,,,
25/06/2018,"137,854,162", $271.00 ,276.082,,,,,,,,,,
26/06/2018,"68,683,211", $271.60 ,275.35,,,,,,,,,,
27/06/2018,"105,110,674", $269.35 ,274.482,,,,,,,,,,
28/06/2018,"76,650,517", $270.89 ,273.698,,,,,,,,,,
29/06/2018,"97,592,499", $271.28 ,273.113,,,,,,,,,,
02/07/2018,"63,554,774", $271.86 ,272.643,,,,,,,,,,
03/07/2018,"42,187,071", $270.90 ,272.183,,,,,,,,,,
05/07/2018,"56,925,919", $273.11 ,271.897,,,,,,,,,,
06/07/2018,"66,493,696", $275.42 ,272.015,,,,,,,,,,
09/07/2018,"50,550,399", $277.90 ,272.331,,,,,,,,,,
10/07/2018,"51,966,829", $278.90 ,273.121,,,,,,,,,,
11/07/2018,"77,054,739", $276.86 ,273.647,,,,,,,,,,
12/07/2018,"60,124,687", $279.37 ,274.649,,,,,,,,,,
13/07/2018,"48,234,964", $279.59 ,275.519,,,,,,,,,,
16/07/2018,"48,201,038", $279.34 ,276.325,,,,,,,,,,
17/07/2018,"52,315,500", $280.47 ,277.186,,,,,,,,,,
18/07/2018,"44,593,465", $281.06 ,278.202,,,,,,,,,,
19/07/2018,"61,412,117", $280.00 ,278.891,,,,,,,,,,
20/07/2018,"82,372,729", $279.68 ,279.317,,,,,,,,,,
23/07/2018,"47,047,565", $280.20 ,279.547,,,,,,,,,,
24/07/2018,"68,026,935", $281.61 ,279.818,,,,,,,,,,
25/07/2018,"78,882,927", $284.01 ,280.533,,,,,,,,,,
26/07/2018,"57,919,495", $283.34 ,280.93,,,,,,,,,,
27/07/2018,"76,783,177", $281.42 ,281.113,,,,,,,,,,
30/07/2018,"63,742,508", $279.95 ,281.174,,,,,,,,,,
31/07/2018,"68,570,493", $281.33 ,281.26,,,,,,,,,,
01/08/2018,"53,853,326", $280.86 ,281.24,,,,,,,,,,
02/08/2018,"63,426,363", $282.39 ,281.479,,,,,,,,,,
03/08/2018,"53,935,386", $283.60 ,281.871,,,,,,,,,,
06/08/2018,"39,400,887", $284.64 ,282.315,,,,,,,,,,
07/08/2018,"43,196,646", $285.58 ,282.712,,,,,,,,,,
08/08/2018,"42,114,551", $285.46 ,282.857,,,,,,,,,,
09/08/2018,"35,716,976", $285.07 ,283.03,,,,,,,,,,
10/08/2018,"77,076,044", $283.16 ,283.204,,,,,,,,,,
13/08/2018,"65,732,909", $282.10 ,283.419,,,,,,,,,,
14/08/2018,"43,842,031", $283.90 ,283.676,,,,,,,,,,
15/08/2018,"102,925,355", $281.78 ,283.768,,,,,,,,,,
16/08/2018,"69,967,919", $284.06 ,283.935,,,,,,,,,,
17/08/2018,"65,618,481", $285.06 ,284.081,,,,,,,,,,
20/08/2018,"39,807,490", $285.67 ,284.184,,,,,,,,,,
21/08/2018,"67,271,983", $286.34 ,284.26,,,,,,,,,,
22/08/2018,"44,993,333", $286.17 ,284.331,,,,,,,,,,
